,Nome,Co,Fe,Ni,Si,Al,Cr,Mo,Nb,Ti,C,V,Zr,Mn,Cu,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,Ref.,Type of phases,r# (g/cm3),HV,Type of tests,sy (MPa),smax (MPa),e (%),E# (GPa)
19,Co1.5CrFeNi1.5Ti0.5,27.27272727,18.18181818,27.27272727,,,18.18181818,,,9.090909091,,,,,,,,,,,,,,,,10,FCC,7.8,509,,,,,211
20,Co1.5CrFeNi1.5Ti,25,16.66666667,25,,,16.66666667,,,16.66666667,,,,,,,,,,,,,,,,10,FCC + Im,7.4,654,,,,,
21,Al0.25CoCrFeNi,23.52941176,23.52941176,23.52941176,,5.882352941,23.52941176,,,,,,,,,,,,,,,,,,,7,FCC,7.7,110,,,,,216
22,Al0.25CoCrFeNi,23.52941176,23.52941176,23.52941176,,5.882352941,23.52941176,,,,,,,,,,,,,,,,,,,7,FCC,7.7,113,,,,,216
23,Al0.375CoCrFeNi,22.85714286,22.85714286,22.85714286,,8.571428571,22.85714286,,,,,,,,,,,,,,,,,,,7,FCC,7.5,131,,,,,211
24,Al0.375CoCrFeNi,22.85714286,22.85714286,22.85714286,,8.571428571,22.85714286,,,,,,,,,,,,,,,,,,,7,FCC,7.5,196,,,,,211
25,Al0.5CoCrFeNi,22.22222222,22.22222222,22.22222222,,11.11111111,22.22222222,,,,,,,,,,,,,,,,,,,7,FCC + BCC,7.3,159,,,,,208
26,Al0.5CoCrFeNi,22.22222222,22.22222222,22.22222222,,11.11111111,22.22222222,,,,,,,,,,,,,,,,,,,7,FCC + BCC,7.3,209,,,,,208
27,Al0.7Co0.3CrFeNi,7.5,25,25,,17.5,25,,,,,,,,,,,,,,,,,,,11,FCC + BCC + B2,6.8,624,C,2033,2635,8,
28,Al0.75CoCrFeNi,21.05263158,21.05263158,21.05263158,,15.78947368,21.05263158,,,,,,,,,,,,,,,,,,,7,FCC + BCC,7.0,388,,,,,200
29,Al0.75CoCrFeNi,21.05263158,21.05263158,21.05263158,,15.78947368,21.05263158,,,,,,,,,,,,,,,,,,,7,FCC + BCC,7.0,280,,,,,200
30,Al0.875CoCrFeNi,20.51282051,20.51282051,20.51282051,,17.94871795,20.51282051,,,,,,,,,,,,,,,,,,,12,FCC + BCC,6.9,,,,,,197
31,Al0.875CoCrFeNi,20.51282051,20.51282051,20.51282051,,17.94871795,20.51282051,,,,,,,,,,,,,,,,,,,7,BCC,6.9,538,,,,,197
32,Al0.875CoCrFeNi,20.51282051,20.51282051,20.51282051,,17.94871795,20.51282051,,,,,,,,,,,,,,,,,,,7,FCC + BCC,6.9,361,,,,,197
33,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,7,BCC,6.7,484,,,,,194
34,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,7,FCC + BCC,6.7,433,,,,,194
35,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,13,BCC,6.7,395,,,,,194
36,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,14,BCC,6.7,,C,1251,2004,33,194
37,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,15,BCC,6.7,,C,1051,,,194
38,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,16,BCC,6.7,,C,1110,,,194
39,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,17,BCC,6.7,,C,1138,,,125
40,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,18,BCC,6.7,,C,1138,,11,125
41,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,19,BCC,6.7,,C,1051,,,194
42,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,20,BCC,6.7,520,C,1373,3531,25,194
43,Al1.25CoCrFeNi,19.04761905,19.04761905,19.04761905,,23.80952381,19.04761905,,,,,,,,,,,,,,,,,,,7,BCC,6.5,487,,,,,188
44,Al1.25CoCrFeNi,19.04761905,19.04761905,19.04761905,,23.80952381,19.04761905,,,,,,,,,,,,,,,,,,,7,BCC,6.5,499,,,,,188
45,Al1.5CoCrFeNi,18.18181818,18.18181818,18.18181818,,27.27272727,18.18181818,,,,,,,,,,,,,,,,,,,7,BCC,6.2,484,,,,,183
46,Al1.5CoCrFeNi,18.18181818,18.18181818,18.18181818,,27.27272727,18.18181818,,,,,,,,,,,,,,,,,,,7,BCC,6.2,517,,,,,183
47,Al1.5CoCrFeNi,18.18181818,18.18181818,18.18181818,,27.27272727,18.18181818,,,,,,,,,,,,,,,,,,,13,BCC,6.2,402,,,,,183
48,Al2CoCrFeNi,16.66666667,16.66666667,16.66666667,,33.33333333,16.66666667,,,,,,,,,,,,,,,,,,,7,BCC,5.9,509,,,,,173
49,Al2CoCrFeNi,16.66666667,16.66666667,16.66666667,,33.33333333,16.66666667,,,,,,,,,,,,,,,,,,,7,BCC,5.9,512,,,,,173
50,Al2CoCrFeNi,16.66666667,16.66666667,16.66666667,,33.33333333,16.66666667,,,,,,,,,,,,,,,,,,,13,BCC,5.9,432,,,,,173
51,Al2.5CoCrFeNi,15.38461538,15.38461538,15.38461538,,38.46153846,15.38461538,,,,,,,,,,,,,,,,,,,13,BCC,5.6,487,,,,,165
52,Al3CoCrFeNi,14.28571429,14.28571429,14.28571429,,42.85714286,14.28571429,,,,,,,,,,,,,,,,,,,13,BCC,5.3,506,,,,,158
53,AlC0.1CoCrFeNi,19.60784314,19.60784314,19.60784314,,19.60784314,19.60784314,,,,1.960784314,,,,,,,,,,,,,,,18,BCC + Im,6.7,,C,957,2550,11,213
54,AlC0.2CoCrFeNi,19.23076923,19.23076923,19.23076923,,19.23076923,19.23076923,,,,3.846153846,,,,,,,,,,,,,,,18,BCC + Im,6.8,,C,906,2386,9,151
55,AlC0.3CoCrFeNi,18.86792453,18.86792453,18.86792453,,18.86792453,18.86792453,,,,5.660377358,,,,,,,,,,,,,,,18,BCC + Im,6.8,,C,867,2178,8,137
56,AlC0.4CoCrFeNi,18.51851852,18.51851852,18.51851852,,18.51851852,18.51851852,,,,7.407407407,,,,,,,,,,,,,,,18,BCC + Im,6.8,,C,1056,2375,7,156
57,AlC0.5CoCrFeNi,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,,,,9.090909091,,,,,,,,,,,,,,,18,BCC + Im,6.8,,C,1060,2250,6,181
58,AlCCoCrFeNi,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,,16.66666667,,,,,,,,,,,,,,,18,BCC + Im,6.9,,C,1251,2166,7,75
59,AlC1.5CoCrFeNi,15.38461538,15.38461538,15.38461538,,15.38461538,15.38461538,,,,23.07692308,,,,,,,,,,,,,,,18,BCC + Im,7.0,,C,1255,2083,6,73
60,Al0.5CoCrFeMo0.5Ni,20,20,20,,10,20,10,,,,,,,,,,,,,,,,,,8,FCC + Im,7.7,425,,,,,
61,AlCo0.5CrFeMo0.5Ni,10,20,20,,20,20,10,,,,,,,,,,,,,,,,,,21,BCC + Im,7.0,801,,,,,
62,AlCoCrFe0.5Mo0.5Ni,20,10,20,,20,20,10,,,,,,,,,,,,,,,,,,22,BCC + Im,7.0,755,,,,,
63,AlCoCrFe0.6Mo0.5Ni,19.60784314,11.76470588,19.60784314,,19.60784314,19.60784314,9.803921569,,,,,,,,,,,,,,,,,,22,BCC + Im,7.1,754,,,,,
64,AlCoCrFeMo0.1Ni,19.60784314,19.60784314,19.60784314,,19.60784314,19.60784314,1.960784314,,,,,,,,,,,,,,,,,,19,BCC,6.8,,C,1804,2280,9,196
65,AlCoCrFeMo0.2Ni,19.23076923,19.23076923,19.23076923,,19.23076923,19.23076923,3.846153846,,,,,,,,,,,,,,,,,,19,BCC + Im,6.9,,C,2456,2953,3,
66,AlCoCrFeMo0.3Ni,18.86792453,18.86792453,18.86792453,,18.86792453,18.86792453,5.660377358,,,,,,,,,,,,,,,,,,19,BCC + Im,7.0,,C,2649,3208,3,
67,AlCoCrFeMo0.4Ni,18.51851852,18.51851852,18.51851852,,18.51851852,18.51851852,7.407407407,,,,,,,,,,,,,,,,,,19,BCC + Im,7.0,,C,2670,3161,3,
68,AlCoCrFeMo0.5Ni0.5,20,20,10,,20,20,10,,,,,,,,,,,,,,,,,,23,B2 + Im,7.0,708,,,,,
69,AlCoCrFeMo0.5Ni,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,9.090909091,,,,,,,,,,,,,,,,,,19,BCC + Im,7.1,,C,2757,3036,3,
70,AlCoCrFeMo0.5Ni,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,9.090909091,,,,,,,,,,,,,,,,,,21,BCC + Im,7.1,796,,,,,
71,AlCoCrFeMo0.5Ni,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,9.090909091,,,,,,,,,,,,,,,,,,8,BCC + Im,7.1,715,,,,,
72,AlCoCrFeMo0.5Ni,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,9.090909091,,,,,,,,,,,,,,,,,,23,B2 + Im,7.1,730,,,,,
73,AlCoCrFeMo0.5Ni1.5,16.66666667,16.66666667,25,,16.66666667,16.66666667,8.333333333,,,,,,,,,,,,,,,,,,23,FCC + B2 + Im,7.2,586,,,,,
74,AlCoCrFeMo0.5Ni2,15.38461538,15.38461538,30.76923077,,15.38461538,15.38461538,7.692307692,,,,,,,,,,,,,,,,,,23,FCC + B2 + Im,7.4,395,,,,,
75,AlCo1.5CrFeMo0.5Ni,25,16.66666667,16.66666667,,16.66666667,16.66666667,8.333333333,,,,,,,,,,,,,,,,,,21,BCC + Im,7.2,741,,,,,
76,AlCo2CrFeMo0.5Ni,30.76923077,15.38461538,15.38461538,,15.38461538,15.38461538,7.692307692,,,,,,,,,,,,,,,,,,21,FCC + BCC + Im,7.3,586,,,,,
77,AlCoCrFe1.5Mo0.5Ni,16.66666667,25,16.66666667,,16.66666667,16.66666667,8.333333333,,,,,,,,,,,,,,,,,,22,BCC + Im,7.2,635,,,,,
78,AlCoCrFe2Mo0.5Ni,15.38461538,30.76923077,15.38461538,,15.38461538,15.38461538,7.692307692,,,,,,,,,,,,,,,,,,22,BCC + Im,7.2,639,,,,,
79,Al1.5CoCrFeMo0.5Ni,16.66666667,16.66666667,16.66666667,,25,16.66666667,8.333333333,,,,,,,,,,,,,,,,,,8,BCC + Im,6.6,655,,,,,
80,Al2CoCrFeMo0.5Ni,15.38461538,15.38461538,15.38461538,,30.76923077,15.38461538,7.692307692,,,,,,,,,,,,,,,,,,8,BCC,6.3,605,,,,,185
81,AlCoCrFeNb0.1Ni,19.60784314,19.60784314,19.60784314,,19.60784314,19.60784314,,1.960784314,,,,,,,,,,,,,,,,,20,BCC,6.8,569,C,1641,3285,17,192
82,AlCoCrFeNb0.25Ni,19.04761905,19.04761905,19.04761905,,19.04761905,19.04761905,,4.761904762,,,,,,,,,,,,,,,,,20,BCC + Im,6.8,668,C,1959,3008,11,
83,AlCoCrFeNb0.5Ni,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,,9.090909091,,,,,,,,,,,,,,,,,20,BCC + Im,7.0,747,C,2473,3170,4,
84,AlCoCrFeNb0.75Ni,17.39130435,17.39130435,17.39130435,,17.39130435,17.39130435,,13.04347826,,,,,,,,,,,,,,,,,20,BCC + Im,7.0,,,,,,
85,AlCoCrFeNiSi0.2,19.23076923,19.23076923,19.23076923,3.846153846,19.23076923,19.23076923,,,,,,,,,,,,,,,,,,,24,BCC,6.5,,C,1265,2173,14,188
86,AlCoCrFeNiSi0.4,18.51851852,18.51851852,18.51851852,7.407407407,18.51851852,18.51851852,,,,,,,,,,,,,,,,,,,24,BCC,6.2,,C,1481,2444,13,183
87,AlCoCrFeNiSi0.6,17.85714286,17.85714286,17.85714286,10.71428571,17.85714286,17.85714286,,,,,,,,,,,,,,,,,,,24,BCC,6.0,,C,1834,2195,3,178
88,AlCoCrFeNiSi0.8,17.24137931,17.24137931,17.24137931,13.79310345,17.24137931,17.24137931,,,,,,,,,,,,,,,,,,,24,BCC + Im,5.8,,C,2179,2664,2,
89,AlCoCrFeNi,20,20,20,,20,20,,,,,,,,,,,,,,,,,,,24,BCC,5.7,,C,1110,,,169
90,AlCoCrFeNiSi,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,,,,,,,,,,,,,,,,,,,24,BCC + Im,5.7,,C,2411,2950,1,
91,Al0.2Co1.5CrFeNi1.5Ti0.5,26.31578947,17.54385965,26.31578947,,3.50877193,17.54385965,,,8.771929825,,,,,,,,,,,,,,,,10,FCC,7.6,487,,,,,206
92,Al0.2Co1.5CrFeNi1.5Ti,24.19354839,16.12903226,24.19354839,,3.225806452,16.12903226,,,16.12903226,,,,,,,,,,,,,,,,10,FCC + Im,7.2,717,,,,,
93,Al0.5CoCrFeNiTi,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,18.18181818,,,,,,,,,,,,,,,,9,BCC + Im,6.6,,C,,1600,10,107
94,AlCoCrFeNiTi0.5,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,,,9.090909091,,,,,,,,,,,,,,,,25,FCC,6.4,178,C,2040,3135,24,72
95,AlCoCrFeNiTi0.5,18.18181818,18.18181818,18.18181818,,18.18181818,18.18181818,,,9.090909091,,,,,,,,,,,,,,,,26,BCC,6.4,178,C,2260,3140,23,178
96,AlCoCrFeNiTi,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,16.66666667,,,,,,,,,,,,,,,,26,BCC,6.2,,C,1860,2580,9,90
97,AlCoCrFeNiTi,16.66666667,16.66666667,16.66666667,,16.66666667,16.66666667,,,16.66666667,,,,,,,,,,,,,,,,9,BCC + Im,6.2,,C,,2280,6,148
98,AlCoCrFeNiTi1.5,15.38461538,15.38461538,15.38461538,,15.38461538,15.38461538,,,23.07692308,,,,,,,,,,,,,,,,26,BCC + Im,6.1,,C,2220,2720,5,160
99,Al1.5CoCrFeNiTi,15.38461538,15.38461538,15.38461538,,23.07692308,15.38461538,,,15.38461538,,,,,,,,,,,,,,,,9,BCC,5.9,,C,,2110,10,133
100,Al2CoCrFeNiTi,14.28571429,14.28571429,14.28571429,,28.57142857,14.28571429,,,14.28571429,,,,,,,,,,,,,,,,9,BCC,5.6,643,C,,1030,5,94
101,AlCoCrFeNiTiVZr,12.5,12.5,12.5,,12.5,12.5,,,12.5,,12.5,12.5,,,,,,,,,,,,,27,,6.3,780,,,,,
102,CoCrFeMnNi,20,20,20,,,20,,,,,,,20,,,,,,,,,,,,28,FCC,8.0,176,T,208,,62,219
103,CoCrFeMnNi,20,20,20,,,20,,,,,,,20,,,,,,,,,,,,29,FCC,8.0,144,C,230,,75,219
104,CoCrFeMnNiV0.25,19.04761905,19.04761905,19.04761905,,,19.04761905,,,,,4.761904762,,19.04761905,,,,,,,,,,,,29,FCC,7.9,151,C,200,,75,215
105,CoCrFeMnNiV0.5,18.18181818,18.18181818,18.18181818,,,18.18181818,,,,,9.090909091,,18.18181818,,,,,,,,,,,,29,FCC,7.8,186,C,620,,75,211
106,CoCrFeMnNiV0.75,17.39130435,17.39130435,17.39130435,,,17.39130435,,,,,13.04347826,,17.39130435,,,,,,,,,,,,29,FCC + Im,7.7,342,C,740,1325,8,
107,CoCrFeMnNiV1.0,16.66666667,16.66666667,16.66666667,,,16.66666667,,,,,16.66666667,,16.66666667,,,,,,,,,,,,29,FCC + Im,7.7,650,C,1660,1845,< 1,
108,Al0.10CoCrFeMnNi,19.60784314,19.60784314,19.60784314,,1.960784314,19.60784314,,,,,,,19.60784314,,,,,,,,,,,,28,FCC,7.9,180,,,,,216
109,Al0.20CoCrFeMnNi,19.23076923,19.23076923,19.23076923,,3.846153846,19.23076923,,,,,,,19.23076923,,,,,,,,,,,,28,FCC,7.7,171,T,220,,56,214
110,Al0.38CoCrFeMnNi,18.58736059,18.58736059,18.58736059,,7.063197026,18.58736059,,,,,,,18.58736059,,,,,,,,,,,,28,FCC,7.5,182,T,244,,45,209
111,Al0.43CoCrFeMnNi,18.41620626,18.41620626,18.41620626,,7.918968692,18.41620626,,,,,,,18.41620626,,,,,,,,,,,,28,FCC + BCC,7.4,183,T,285,,35,208
112,Al0.49CoCrFeMnNi,18.21493625,18.21493625,18.21493625,,8.925318761,18.21493625,,,,,,,18.21493625,,,,,,,,,,,,28,FCC + BCC,7.4,220,T,331,,29,206
113,Al0.56CoCrFeMnNi,17.98561151,17.98561151,17.98561151,,10.07194245,17.98561151,,,,,,,17.98561151,,,,,,,,,,,,28,FCC + BCC,7.3,278,T,526,,16,204
114,Al0.62CoCrFeMnNi,17.79359431,17.79359431,17.79359431,,11.03202847,17.79359431,,,,,,,17.79359431,,,,,,,,,,,,28,FCC + BCC,7.2,405,T,833,,5,203
115,Al0.68CoCrFeMnNi,17.6056338,17.6056338,17.6056338,,11.97183099,17.6056338,,,,,,,17.6056338,,,,,,,,,,,,28,FCC + BCC,7.2,486,,,,,202
116,Al0.75CoCrFeMnNi,17.39130435,17.39130435,17.39130435,,13.04347826,17.39130435,,,,,,,17.39130435,,,,,,,,,,,,28,FCC + BCC,7.1,530,,,,,200
117,Al0.81CoCrFeMnNi,17.21170396,17.21170396,17.21170396,,13.94148021,17.21170396,,,,,,,17.21170396,,,,,,,,,,,,28,FCC + BCC,7.0,539,,,,,199
118,Al0.88CoCrFeMnNi,17.00680272,17.00680272,17.00680272,,14.96598639,17.00680272,,,,,,,17.00680272,,,,,,,,,,,,28,FCC + BCC,7.0,533,,,,,197
119,Al0.95CoCrFeMnNi,16.80672269,16.80672269,16.80672269,,15.96638655,16.80672269,,,,,,,16.80672269,,,,,,,,,,,,28,FCC + BCC,6.9,535,,,,,196
120,Al1.25CoCrFeMnNi,16,16,16,,20,16,,,,,,,16,,,,,,,,,,,,28,BCC,6.6,539,,,,,190
121,CoCrNi,33.33333333,,33.33333333,,,33.33333333,,,,,,,,,,,,,,,,,,,5,FCC,8.3,,T,300,860,60,229
122,CoMnNi,33.33333333,,33.33333333,,,,,,,,,,33.33333333,,,,,,,,,,,,5,FCC,8.4,,T,231,653,38,202
123,FeMnNi,,33.33333333,33.33333333,,,,,,,,,,33.33333333,,,,,,,,,,,,5,FCC,8.1,,T,221,602,36,203
124,CoCrFeNi,25,25,25,,,25,,,,,,,,,,,,,,,,,,,5,FCC,8.2,,T,274,708,39,225
125,CoCrMnNi,25,,25,,,25,,,,,,,25,,,,,,,,,,,,5,FCC,8.1,,T,282,694,44,222
126,CoFeMnNi,25,25,25,,,,,,,,,,25,,,,,,,,,,,,5,FCC,8.2,,T,170,550,41,205
127,Al0.5CrFe1.5MnNi0.5,,33.33333333,11.11111111,,11.11111111,22.22222222,,,,,,,22.22222222,,,,,,,,,,,,30,BCC,7.0,396,,,,,206
128,Al0.3CrFe1.5MnNi0.5,,34.88372093,11.62790698,,6.976744186,23.25581395,,,,,,,23.25581395,,,,,,,,,,,,30,FCC + BCC,7.2,297,,,,,213
129,AlCoCrFeMo0.5,22.22222222,22.22222222,,,22.22222222,22.22222222,11.11111111,,,,,,,,,,,,,,,,,,23,B2 + Im,6.8,857,,,,,
130,AlCrFeNi,,25,25,,25,25,,,,,,,,,,,,,,,,,,,31,BCC + B2,6.3,472,C,1406,2927,29,190
131,AlCrFeNiMo0.2,,23.80952381,23.80952381,,23.80952381,23.80952381,4.761904762,,,,,,,,,,,,,,,,,,31,BCC + B2,6.5,549,C,1487,3222,29,197
132,AlCrFeNiMo0.5,,22.22222222,22.22222222,,22.22222222,22.22222222,11.11111111,,,,,,,,,,,,,,,,,,31,BCC + B2,6.8,622,C,1749,2644,13,205
133,AlCrFeNiMo0.8,,20.83333333,20.83333333,,20.83333333,20.83333333,16.66666667,,,,,,,,,,,,,,,,,,31,B2 + Im,7.0,854,C,1513,1513,< 1,
134,AlCrFeNiMo,,20,20,,20,20,20,,,,,,,,,,,,,,,,,,31,B2 + Im,7.2,905,,,,,
135,CoCrCuFe,25,25,,,,25,,,,,,,,25,,,,,,,,,,,32,FCC,8.2,134,,,,,206
136,Al0.3CoCrCuFe,23.25581395,23.25581395,,,6.976744186,23.25581395,,,,,,,,23.25581395,,,,,,,,,,,32,FCC,7.7,180,,,,,194
137,Al0.5CoCrCuFe,22.22222222,22.22222222,,,11.11111111,22.22222222,,,,,,,,22.22222222,,,,,,,,,,,32,FCC,7.4,207,,,,,187
138,Al0.8CoCrCuFe,20.83333333,20.83333333,,,16.66666667,20.83333333,,,,,,,,20.83333333,,,,,,,,,,,32,FCC + BCC,7.0,271,,,,,177
139,AlCoCrCuFe,20,20,,,20,20,,,,,,,,20,,,,,,,,,,,32,FCC + BCC,6.8,407,,,,,172
140,Al1.3CoCrCuFe,18.86792453,18.86792453,,,24.52830189,18.86792453,,,,,,,,18.86792453,,,,,,,,,,,32,FCC + BCC,6.5,476,,,,,165
141,Al1.5CoCrCuFe,18.18181818,18.18181818,,,27.27272727,18.18181818,,,,,,,,18.18181818,,,,,,,,,,,32,FCC + BCC,6.3,510,,,,,167
142,Al1.8CoCrCuFe,17.24137931,17.24137931,,,31.03448276,17.24137931,,,,,,,,17.24137931,,,,,,,,,,,32,FCC + BCC,6.0,557,,,,,155
143,Al2.0CoCrCuFe,16.66666667,16.66666667,,,33.33333333,16.66666667,,,,,,,,16.66666667,,,,,,,,,,,32,FCC + BCC,5.9,567,,,,,152
144,Al2.3CoCrCuFe,15.87301587,15.87301587,,,36.50793651,15.87301587,,,,,,,,15.87301587,,,,,,,,,,,32,FCC + BCC,5.7,603,,,,,147
145,Al2.5CoCrCuFe,15.38461538,15.38461538,,,38.46153846,15.38461538,,,,,,,,15.38461538,,,,,,,,,,,32,FCC + BCC,5.6,624,,,,,144
146,Al2.8CoCrCuFe,14.70588235,14.70588235,,,41.17647059,14.70588235,,,,,,,,14.70588235,,,,,,,,,,,32,BCC,5.5,657,,,,,140
147,Al3.0CoCrCuFe,14.28571429,14.28571429,,,42.85714286,14.28571429,,,,,,,,14.28571429,,,,,,,,,,,32,BCC,5.4,644,,,,,138
148,CoCrCu0.5FeNi,22.22222222,22.22222222,22.22222222,,,22.22222222,,,,,,,,11.11111111,,,,,,,,,,,33,FCC,8.3,172,,,,,214
149,CoCrCuFeNi,20,20,20,,,20,,,,,,,,20,,,,,,,,,,,34,FCC,8.3,132,C,230,,,56
150,CoCrCuFeNi,20,20,20,,,20,,,,,,,,20,,,,,,,,,,,45,FCC,8.3,286,C,230,888,51,56
151,CoCrCuFeNi,20,20,20,,,20,,,,,,,,20,,,,,,,,,,,13,FCC,8.3,286,,,,,206
152,CoCrCuFeNiTi0.5,18.18181818,18.18181818,18.18181818,,,18.18181818,,,9.090909091,,,,,18.18181818,,,,,,,,,,,25,FCC,7.8,,C,700,1650,29,93
153,CoCrCuFeNiTi0.5,18.18181818,18.18181818,18.18181818,,,18.18181818,,,9.090909091,,,,,18.18181818,,,,,,,,,,,35,FCC,7.8,,C,700,1650,22,99
154,CoCrCuFeNiTi0.8,17.24137931,17.24137931,17.24137931,,,17.24137931,,,13.79310345,,,,,17.24137931,,,,,,,,,,,35,FCC + Im,7.6,,C,1042,1848,3,128
155,CoCrCuFeNiTi,16.66666667,16.66666667,16.66666667,,,16.66666667,,,16.66666667,,,,,16.66666667,,,,,,,,,,,35,FCC,7.4,,C,1272,1272,2,77
156,Al0.25CoCrCu0.5FeNiTi0.5,19.04761905,19.04761905,19.04761905,,4.761904762,19.04761905,,,9.523809524,,,,,9.523809524,,,,,,,,,,,25,FCC,7.4,,,,,,198
157,Al0.25CoCrCu0.75FeNiTi0.5,18.18181818,18.18181818,18.18181818,,4.545454545,18.18181818,,,9.090909091,,,,,13.63636364,,,,,,,,,,,25,FCC,7.5,,C,750,1970,39,103
158,Al0.3CoCrCuFeNi,18.86792453,18.86792453,18.86792453,,5.660377358,18.86792453,,,,,,,,18.86792453,,,,,,,,,,,34,FCC,7.9,180,,,,,198
159,Al0.5CoCrCuFeNi,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,,,,,,18.18181818,,,,,,,,,,,34,FCC,7.6,210,C,388,,,193
160,Al0.5CoCrCuFeNi,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,,,,,,18.18181818,,,,,,,,,,,36,,7.6,300,,,,,193
161,Al0.5CoCrCuFeNi,18.18181818,18.18181818,18.18181818,,9.090909091,18.18181818,,,,,,,,18.18181818,,,,,,,,,,,37,FCC,7.6,225,,,,,193
